time,elapsed,mode,PSU V,PSU I,Load V,Load I,mV1,mV2,mV3,mV4,mV5,mV6,mV7,mV8,mV9,mV10,mV11,mV12,mA
10:54:13,2,CC Discharge,0,0,0,0.825,3082.3, 3028.7, 3097.0, 3045.3, 3035.1, 3037.0, 3044.4, 3069.4, 3075.8, 3059.8, 3059.3, 3037.2,-000844.4
10:54:14,3,CC Discharge,0,0,0,0.825,3078.5, 3025.0, 3093.4, 3041.4, 3031.4, 3033.2, 3040.7, 3065.8, 3072.1, 3056.2, 3055.4, 3033.2,-000852.4
10:54:15,4,CC Discharge,0,0,0,0.825,3073.6, 3020.0, 3088.5, 3036.3, 3026.3, 3028.3, 3035.7, 3060.8, 3067.1, 3051.5, 3050.3, 3027.8,-000840.4
10:54:16,5,CC Discharge,0,0,0,0.825,3069.4, 3015.6, 3084.3, 3032.0, 3022.0, 3024.1, 3031.8, 3056.6, 3063.0, 3047.5, 3046.0, 3023.5,-000852.4
10:54:17,6,CC Discharge,0,0,0,0.825,3065.4, 3011.7, 3080.5, 3027.8, 3017.9, 3020.1, 3027.9, 3052.7, 3059.1, 3043.7, 3041.9, 3019.3,-000852.4
10:54:18,7,CC Discharge,0,0,0,0.825,3061.7, 3007.9, 3076.6, 3023.7, 3014.0, 3016.2, 3024.1, 3048.9, 3055.3, 3040.1, 3038.0, 3015.3,-000848.4
10:54:19,8,CC Discharge,0,0,0,0.825,3059.4, 3005.6, 3074.4, 3021.4, 3011.7, 3013.9, 3022.0, 3046.6, 3053.0, 3038.0, 3035.7, 3012.9,-000836.4
10:54:20,9,CC Discharge,0,0,0,0.825,3056.2, 3002.2, 3071.0, 3017.9, 3008.3, 3010.7, 3018.8, 3043.3, 3049.7, 3034.6, 3032.1, 3009.3,-000828.4
10:54:21,10,CC Discharge,0,0,0,0.825,3053.0, 2999.0, 3067.9, 3014.6, 3005.2, 3007.6, 3015.8, 3040.1, 3046.7, 3031.9, 3029.1, 3006.0,-000828.4
10:54:22,11,CC Discharge,0,0,0,0.825,3050.3, 2996.3, 3065.3, 3011.7, 3002.4, 3004.8, 3013.1, 3037.4, 3044.1, 3029.3, 3026.2, 3003.1,-000828.4
10:54:23,12,CC Discharge,0,0,0,0.825,3048.3, 2994.1, 3063.2, 3009.6, 3000.2, 3002.8, 3011.0, 3035.3, 3041.9, 3027.4, 3024.1, 3000.9,-000828.4
10:54:24,13,CC Discharge,0,0,0,0.825,3045.8, 2991.6, 3060.7, 3006.9, 2997.6, 3000.3, 3008.7, 3032.8, 3039.4, 3025.0, 3021.5, 2998.3,-000828.4
